 |ID|CJ|CI|RWLA|RWAR|RWB|RWCM|RWCN|RWDO|RWDT|RWEL|RWEND|RWFOR|RWFR|RWGT|RWIF|RWINT|RWIR|RWLB|RWLN|RWOF|RWOP|RWLO|RWPR|RWRAT|RWRD|RWSM|RWTH|RWTO|RWTP|RWV|RWWR|RWCX|RWFUN|RWIM|RWRE|RWINTOP|RWPRC|RWDN|RWN|OPPLUS|OPMINUS|OPMUL|OPDIV|OPGT|OPLT|OPGE|OPLE|OPEQ|OPNE|OPAS|SRLP|SRRP|SRLB|SRRB|SRSM|SRCN|SRSP|SRCA|SRLCB|SRRCB|TEXT||ERROR|ENDOFFILE|ENDOFFILE
OperatorOverloadSection3||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRRP, ID, SRCN, Type, SRSM, OperatorOverloadSection1, CompoundStatement, SRSM]|||[SRSM, ID, SRCN, Type, SRRP, ID, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]||||||||||
OutputOperator|||||||||||||||||||||||||||||||||[RWWR, SRLP, TEXT, ExprList1, SRRP]||||||||||||||||||||||||||||||||||
OutputOperator1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
OverloadBinaryOperation|||||[OverloadBinaryOperation1]|||[OverloadBinaryOperation1]||||||||||||||||[OverloadBinaryOperation1]||||||||||||||||||[BinaryAdditiveOperator]|[BinaryAdditiveOperator]|[OverloadBinaryOperation1]|[OverloadBinaryOperation1]|||||||[OverloadBinaryOperation1]|||||||||||||||
OverloadBinaryOperation1|||||[RWLA]|||[RWCM]||||||||||||||||[RWLO]||||||||||||||||||||[BinaryMulOperator]|[BinaryMulOperator]|||||||[OPAS]|||||||||||||||
PostfixRationalOperator|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRSP, PostfixRationalOperator1]||||||||
PostfixRationalOperator1||||||||||||||||||||||||||||||||||||||||[RWDN]|[RWN]||||||||||||||||||||||||||
Procedure|||||||||||||||||||||||||||||||||||||||[RWPRC, ID, SRLP, FunctionArgs, ResultArgs, SRRP, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]||||||||||||||||||||||||||||
ProcedureFunctions|||||||[EPSILON]||||||||||||||||||||||||||||[Function, ProcedureFunctions]||||[Procedure, ProcedureFunctions]||||||||||||||||||||||||||||
Program|||||||||||||||||||||||||[RWPR, ID, SRSM, Program1]||||||||||||||||||||||||||||||||||||||||||
Program1|||||||[ProcedureFunctions, CompoundStatement, SRSP]||[DescriptionSection1, DescriptionSection, ProcedureFunctions, CompoundStatement, SRSP]|||||||||||[DescriptionSection1, DescriptionSection, ProcedureFunctions, CompoundStatement, SRSP]|||[DescriptionSection1, DescriptionSection, ProcedureFunctions, CompoundStatement, SRSP]||||||||[DescriptionSection1, DescriptionSection, ProcedureFunctions, CompoundStatement, SRSP]|[DescriptionSection1, DescriptionSection, ProcedureFunctions, CompoundStatement, SRSP]|||[ProcedureFunctions, CompoundStatement, SRSP]||||[ProcedureFunctions, CompoundStatement, SRSP]||||||||||||||||||||||||||||
RatianalType1||||[CI, RatianalType2]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
RatianalType2|||[EPSILON]||||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRSP, CI]|[EPSILON]||[EPSILON]|||||
Relation||[Expression1, Relation1]||[Expression1, Relation1]|||||||||||[Expression1, Relation1]||||[Expression1, Relation1]||[Expression1, Relation1]|||||||[Expression1, Relation1]||||||||[Expression1, Relation1]|[Expression1, Relation1]|[Expression1, Relation1]||||[Expression1, Relation1]|[Expression1, Relation1]||||||||||[Expression1, Relation1]||||||||[Expression1, Relation1]||||||
Relation1|||||[EPSILON]|||||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||||||[BinaryRelationOperator, Expression1, Relation1]|[BinaryRelationOperator, Expression1, Relation1]|[BinaryRelationOperator, Expression1, Relation1]|[BinaryRelationOperator, Expression1, Relation1]|[BinaryRelationOperator, Expression1, Relation1]|[BinaryRelationOperator, Expression1, Relation1]|||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
ResultArgs||||||||||||||||||||||||||||||||||||||||||||||||||||||[EPSILON]|||[SRSM, RWV, FunctionArgs]||||||||||
RightHandPostfixRationalOperator|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[PostfixRationalOperator]||||||||
RightHandVar||[ID, ]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
RightHandVar1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Statement||[Statement2]|||||[Statement2]||||||[EPSILON]|[Statement2]||[Statement2]|[Statement2]||||||||||[Statement2]||||||[Statement2]||||||||||||||||||||||||[EPSILON]||||||||||
Statement1||||||||||||||||||||||||||||||||||||||||||||||||||||[, OPAS, Expression]|||[, OPAS, Expression]|||[, , SRCN, Statement]|[, OPAS, Expression]||||||||
Statement2||[ID, Statement1]|||||[CompoundStatement]|||||||[LoopWithParameterOperator]||[UnconditionalJumpOperator]|[ConditionalOperator]||||||||||[InputOperator]||||||[OutputOperator]||||||||||||||||||||||||||||||||||
Summand||[Factor1, Summand1]||[Factor1, Summand1]|||||||||||[Factor1, Summand1]||||[Factor1, Summand1]||[Factor1, Summand1]|||||||[Factor1, Summand1]||||||||[Factor1, Summand1]|[Factor1, Summand1]|[Factor1, Summand1]||||[Factor1, Summand1]|[Factor1, Summand1]||||||||||[Factor1, Summand1]||||||||[Factor1, Summand1]||||||
Summand1|||||[EPSILON]|||||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||[EPSILON]|[EPSILON]|[BinaryMulOperator, Factor1, Summand1]|[BinaryMulOperator, Factor1, Summand1]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
Type||[ID]||||[Massive]||||||||||||[ConcreteType]||||||||[ConcreteType]||||||||[ConcreteType]|||||||||||||||||||[EnumType]||||||||||||||
TypeDefinition||[ID, OPEQ, Type]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
TypeSection|||||||||||||||||||||||||||||||[RWTP, TypeDefinition, SRSM, TypeSection1]||||||||||||||||||||||||||||||||||||
TypeSection1||[TypeDefinition, SRSM, TypeSection1]|||[EPSILON]||[EPSILON]|[EPSILON]|[EPSILON]||||||[EPSILON]||||[EPSILON]|[EPSILON]|[EPSILON]||[EPSILON]|[EPSILON]||||[EPSILON]|||[EPSILON]|[EPSILON]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||||||[EPSILON]|||||||||||||||
UnaryAdditiveOperator||||||||||||||||||||||||||||||||||||||||||[BinaryAdditiveOperator]|[BinaryAdditiveOperator]||||||||||||||||||||||||
UnaryOperator|||||||||||||||[UnaryOperator1]||||[UnaryOperator1]||[UnaryOperator1]|||||||[UnaryOperator1]||||||||[UnaryOperator1]|[UnaryOperator1]|[UnaryOperator1]||||[BinaryAdditiveOperator]|[BinaryAdditiveOperator]||||||||||||||||||||||||
UnaryOperator1|||||||||||||||[RWFR]||||[RWIR]||[RWLN]|||||||[RWSM]||||||||[RWIM]|[RWRE]|[RWINTOP]|||||||||||||||||||||||||||||
UnaryOperatorOverload|||||||||||||||[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]||||[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]||[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]|||||||[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]||||||||[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]|[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]|[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]||||[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]|[UnaryOperator, SRLP, ID, SRCN, Type, SRRP]||||||||||||||||||||||||
UnconditionalJumpOperator||||||||||||||||[RWGT, Label]|||||||||||||||||||||||||||||||||||||||||||||||||||
Var|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Var1||[RightHandVar]||[CI, Var3]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRLCB, RatianalType1, SRCA, RatianalType1, SRRCB]||||||
Var2|||[CJ]||[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
